filename,SAT,STATUS,TIME (s)
10_05_005_100_25_1.GSP,20,FINISHED,0.24
10_05_005_100_50_1.GSP,16,FINISHED,0.24
10_05_005_100_75_1.GSP,23,FINISHED,0.18
10_05_005_125_25_1.GSP,22,FINISHED,0.21
10_05_005_125_50_1.GSP,35,FINISHED,0.21
10_05_005_125_75_1.GSP,37,FINISHED,0.17
10_05_025_100_25_1.GSP,14,FINISHED,0.19
10_05_025_100_50_1.GSP,28,FINISHED,0.16
10_05_025_100_75_1.GSP,34,FINISHED,0.15
10_05_025_125_25_1.GSP,22,FINISHED,0.16
10_05_025_125_50_1.GSP,23,FINISHED,0.19
10_05_025_125_75_1.GSP,27,FINISHED,0.15
10_05_050_100_25_1.GSP,8,FINISHED,0.18
10_05_050_100_50_1.GSP,19,FINISHED,0.17
10_05_050_100_75_1.GSP,18,FINISHED,0.15
10_05_050_125_25_1.GSP,12,FINISHED,0.16
10_05_050_125_50_1.GSP,22,FINISHED,0.13
10_05_050_125_75_1.GSP,18,FINISHED,0.12
10_10_005_100_25_1.GSP,-,UNSAT,0.1
10_10_005_100_50_1.GSP,-,UNSAT,0.1
10_10_005_100_75_1.GSP,-,UNSAT,0.1
10_10_005_125_25_1.GSP,22,FINISHED,0.11
10_10_005_125_50_1.GSP,13,FINISHED,0.12
10_10_005_125_75_1.GSP,20,FINISHED,0.12
10_10_025_100_25_1.GSP,6,FINISHED,0.17
10_10_025_100_50_1.GSP,4,FINISHED,0.11
10_10_025_100_75_1.GSP,15,FINISHED,0.11
10_10_025_125_25_1.GSP,8,FINISHED,0.14
10_10_025_125_50_1.GSP,4,FINISHED,0.12
10_10_025_125_75_1.GSP,9,FINISHED,0.11
10_10_050_100_25_1.GSP,3,FINISHED,0.13
10_10_050_100_50_1.GSP,3,FINISHED,0.12
10_10_050_100_75_1.GSP,9,FINISHED,0.12
10_10_050_125_25_1.GSP,3,FINISHED,0.14
10_10_050_125_50_1.GSP,7,FINISHED,0.13
10_10_050_125_75_1.GSP,0,FINISHED,0.12
