filename,OPT VALUE,STATUS,TIME (s)
30_05_025_125_00_4.GSP,49.99998999321251,FINISHED,30.66
30_05_025_150_00_3.GSP,62.999999971000015,FINISHED,30.65
30_05_025_150_00_4.GSP,46.99999997020002,FINISHED,30.66
30_05_050_100_00_1.GSP,28.999999981999974,FINISHED,30.72
30_05_050_100_00_2.GSP,28.999999977000012,FINISHED,30.66
30_05_050_100_00_3.GSP,30.999999974999938,FINISHED,30.7
30_05_050_100_00_4.GSP,32.999999976999895,FINISHED,30.69
30_05_050_100_25_1.GSP,35.99999999100002,FINISHED,30.69
30_05_050_100_25_4.GSP,42.99999999999994,FINISHED,1.05
30_05_050_125_00_1.GSP,16.99999997400004,FINISHED,30.64
30_05_050_125_00_2.GSP,23.999999954000018,FINISHED,30.75
30_05_050_125_00_3.GSP,22.999999978999988,FINISHED,30.67
30_05_050_125_00_4.GSP,26.99999997799991,FINISHED,30.67
30_05_050_125_25_3.GSP,46.999999994999975,FINISHED,30.68
30_05_050_150_00_2.GSP,19.999999976999906,FINISHED,30.77
30_05_050_150_00_3.GSP,25.99999998400001,FINISHED,30.69
30_05_050_150_00_4.GSP,28.99999998999992,FINISHED,30.72
30_05_050_150_25_2.GSP,39.999999999999986,FINISHED,0.73
30_10_005_100_00_1.GSP,23.999999989000003,FINISHED,0.74
30_10_005_100_00_2.GSP,20.0,FINISHED,1.88
30_10_005_100_00_4.GSP,24.99999996200026,FINISHED,30.64
30_10_005_100_25_4.GSP,24.999999981000023,FINISHED,8.87
30_10_005_100_50_4.GSP,48.9999999999996,FINISHED,0.71
30_10_005_100_75_4.GSP,49.0,FINISHED,0.62
30_10_005_125_00_2.GSP,29.999999980000187,FINISHED,1.16
30_10_005_125_00_3.GSP,13.0,FINISHED,0.7
30_10_005_125_00_4.GSP,21.999999976400204,FINISHED,30.66
30_10_005_125_25_2.GSP,30.0,FINISHED,0.8
30_10_005_125_25_3.GSP,13.0,FINISHED,0.7
30_10_005_125_50_3.GSP,13.0,FINISHED,0.63
30_10_005_125_75_3.GSP,27.999999999999943,FINISHED,0.61
30_10_005_150_00_1.GSP,36.99999998800002,FINISHED,1.23
